name,team,gradClass,position,height,weight,highSchool,homeTown_city,homeTown_state,isInternational,weight_group,height_group
Omar Ramadan,Creighton University,Graduate Student,Midfielder,5'11,185,Huntley HS,Algonquin,(IL) - Illinois,False,170-199,5'8-5'11
Amos Boum Niend,Creighton University,Sophomore,Forward,5'10,175,Collège Saint-Charles Garnier,Quebec,Canada,True,170-199,5'8-5'11
Bautista Rossi,Creighton University,Freshman,Forward,,,,,,False,,
Ryusei Shimonishi,Creighton University,Senior,Defender,5'7,150,Kyoto Tachibana HS,Osaka,Japan,True,150-169,5'7-5'3
Diego Ferruzzi,Creighton University,Junior,Midfielder,5'11,170,McKinney Boyd HS,McKinney,(TX) - Texas,False,170-199,5'8-5'11
Aaron Deppe,Creighton University,Sophomore,Defender,5'8,150,Laurel Springs HS,Coopersville,(MI) - Michigan,False,150-169,5'8-5'11
Ben Foulks,Creighton University,Senior,Defender,5'8,155,Francis Parker HS,San Diego,(CA) - California,False,150-169,5'8-5'11
Ali Ramadan,Creighton University,Junior,Midfielder,6'4,200,Huntley HS,Algonquin,(IL) - Illinois,False,Above 200,6'0-6'6
Brady Bragg,Creighton University,Sophomore,Midfielder,5'9,180,Creighton Prep,Omaha,(NE) - Nebraska,False,170-199,5'8-5'11
Ismael Reyes,Creighton University,Sophomore,Midfielder,5'6,125,Shattuck - St. Mary's HS,Oklahoma City,,False,below 130,5'7-5'3
Edward Morales,Creighton University,Junior,Midfielder,5'8,140,Sharyland HS,McAllen,(TX) - Texas,False,130-149,5'8-5'11
Marco Santana,Creighton University,Freshman,Defender,,,,,,False,,
Pablo Andrade,Creighton University,Junior,Goalkeeper,5'11,185,Saint Augustine HS,Chula Vista,(CA) - California,False,170-199,5'8-5'11
Owen Nelson,Creighton University,Senior,Forward,5'8,170,Shattuck - St. Mary's HS,Shawnee,(KS) - Kansas,False,170-199,5'8-5'11
Dylan Buchanan,Dartmouth College,Senior,Goalkeeper,6'3,190,Walton,Marietta,(GA) - Georgia,False,170-199,6'0-6'6
Konstantinos Dellas,Dartmouth College,Freshman,Goalkeeper,6'5,200,German School of Athens,Thrakomakedones,,False,Above 200,6'0-6'6
Costi Christodoulou,Dartmouth College,Senior,Goalkeeper,6'2,180,Hilton College,Gauteng,South Africa,True,170-199,6'0-6'6
Alexis Huneau,Dartmouth College,Sophomore,Defender,6'3,180,American High School,Paris,France,True,170-199,6'0-6'6
Ben Jenkins,Dartmouth College,Senior,Midfielder,6'3,195,St. Paul’s School (N.H.),Newburyport,(MA) - Massachusetts,False,170-199,6'0-6'6
Nick Kashambuzi,Dartmouth College,Freshman,Defender,5'10,155,American High School,Jersey City,(NJ) - New Jersey,False,150-169,5'8-5'11
Panagiotis Karagiorgis,Dartmouth College,Freshman,,6'1,180,American Academy Larnaca,Larnaca,Cyprus,True,170-199,6'0-6'6
Symeon Hadjigeorgiou,Dartmouth College,Freshman,Midfielder,5'9,140,Pascal English School Leukosia,Nicosia,Cyprus,True,130-149,5'8-5'11
Vasilis Moiras,Dartmouth College,Sophomore,Forward,5'9,170,Ekpaideytiki Anagennisi,Agios Stefanos,,False,170-199,5'8-5'11
Douglas Arveskär,Dartmouth College,Sophomore,Forward,6'5,185,Danderyds Gymnasium,Stockholm,Sweden,True,170-199,6'0-6'6
Kristian Feed,Dartmouth College,Senior,Midfielder,6'0,175,Sandnes,Sandnes,Norway,True,170-199,6'0-6'6
Phineas Callahan,Dartmouth College,Senior,Midfielder,5'10,170,Pierrepont School,Norwalk,(CT) - Connecticut,False,170-199,5'8-5'11
Marios Tziortzis,Dartmouth College,Freshman,Forward,5'11,155,American Academy Larnaca,Larnaca,Cyprus,True,150-169,5'8-5'11
Andrew Ellis,Dartmouth College,Senior,Midfielder,6'1,190,Minneapolis Southwest,Minneapolis,(MN) - Minnesota,False,170-199,6'0-6'6
Trenton Blake,Dartmouth College,Sophomore,Forward,5'8,150,Florida Virtual Full Time High School,Tallahassee,(FL) - Florida,False,150-169,5'8-5'11
Fallou Ndiaye,Dartmouth College,Junior,Forward,6'0,195,Eleanor Roosevelt High School,New York,(NY) - New York,False,170-199,6'0-6'6
Oskar Magnusson,Dartmouth College,Junior,Midfielder,5'11,155,Flensborgarskólinn,Reykjavík,Iceland,True,150-169,5'8-5'11
James Wilson,Dartmouth College,Junior,Forward,6'1,180,Crescent School,Toronto,Ontario,True,170-199,6'0-6'6
Sebastián Mañón,Dartmouth College,Junior,Defender,6'0,175,The Taft School,Santo Domingo,Dominican Republic,True,170-199,6'0-6'6
Eidur Baldvinsson,Dartmouth College,Freshman,Forward,6'5,,Verzlunarskoli Islands,Garðabær,Iceland,True,,6'0-6'6
Raphael Oppong Owusu,Dartmouth College,Freshman,Midfielder,5'11,160,Kimball Union Academy,Sunyani,Ghana,True,150-169,5'8-5'11
Cameron Brayne,Dartmouth College,Sophomore,Forward,5'11,175,Sevenoaks School,London,,False,170-199,5'8-5'11
Will Lulka,Dartmouth College,Sophomore,Forward,6'1,180,Fordham Preparatory,New York,(NY) - New York,False,170-199,6'0-6'6
Sam Fenton,Dartmouth College,Junior,Defender,6'0,178,YSC Academy,Mount Laurel,(NJ) - New Jersey,False,170-199,6'0-6'6
Raul Vargas,Dartmouth College,Junior,Midfielder,5'10,167,Green Valley Atenas,Atenas,Costa Rica,True,150-169,5'8-5'11
Orrett Maine,Dartmouth College,Senior,Midfielder,6'4,195,Greater Atlanta Christian,Atlanta,(GA) - Georgia,False,170-199,6'0-6'6
David Mysiuk,Dartmouth College,Senior,Defender,6'1,185,Bradley-Bourbonnais,Bourbonnais,(IL) - Illinois,False,170-199,6'0-6'6
Jonathan Preston,Dartmouth College,Senior,Midfielder,5'8,160,Shattuck St. Mary's Academy,Brentwood,(TN) - Tennessee,False,150-169,5'8-5'11
Matt McPherson,Dartmouth College,Junior,Goalkeeper,6'1,185,Thomas Jefferson High School,Denver,(CO) - Colorado,False,170-199,6'0-6'6
Jack Burden,Davidson College,Senior,Goalkeeper,6'5,195,William R. Boone,Orlando,(FL) - Florida,False,170-199,6'0-6'6
Lucas Beltran,Davidson College,Junior,Goalkeeper,6'2,170,San Dieguito Academy,Encinitas,(CA) - California,False,170-199,6'0-6'6
Hampton Hughes,Davidson College,Junior,Defender,6'3,180,Christ Church Episcopal School,Greenville,(SC) - South Carolina,False,170-199,6'0-6'6
Ayman Maadir,Davidson College,Junior,Defender,6'2,190,Langtree Charter Academy,Mooresville,(NC) - North Carolina,False,170-199,6'0-6'6
Jackson Nabors,Davidson College,Senior,Midfielder / Forward,6'8,180,Indian Springs School,Vestavia Hills,(AL) - Alabama,False,170-199,6'6+
Patrick Ward,Davidson College,Junior,Defender,5'11,165,La Jolla Country Day,San Diego,(CA) - California,False,150-169,5'8-5'11
Myles Culley,Davidson College,Junior,Midfielder / Forward,6'0,170,Waynflete High School,Falmouth,(ME) - Maine,False,170-199,6'0-6'6
Jack Brown,Davidson College,Senior,Defender / Midfielder,5'11,160,Brophy College Prep,Peoria,(AZ) - Arizona,False,150-169,5'8-5'11
Brady McGlone,Davidson College,Sophomore,Defender,6'4,190,Worthington Kilbourne,Columbus,(OH) - Ohio,False,170-199,6'0-6'6
Baylen Young,Davidson College,Senior,Midfielder,5'11,150,Tampa Jesuit,Tampa,(FL) - Florida,False,150-169,5'8-5'11
Piers Ringdahl,Davidson College,Senior,Midfielder / Forward,6'0,175,Oconee County,Watkinsville,(GA) - Georgia,False,170-199,6'0-6'6
Noah Louzan,Davidson College,Junior,Midfielder,6'1,160,Walton High School,Marietta,(GA) - Georgia,False,150-169,6'0-6'6
Nico Quanbeck,Davidson College,Junior,Midfielder,6'1,160,San Dieguito Academy,Encinitas,(CA) - California,False,150-169,6'0-6'6
Ben Minikel-Lacocque,Davidson College,Junior,Midfielder,5'11,160,Madison West,Madison,(WI) - Wisconsin,False,150-169,5'8-5'11
Tobe Ibe,Davidson College,Sophomore,Forward,6'1,190,Deep Run High School,Richmond,,False,170-199,6'0-6'6
Mateo Castellini,Davidson College,Sophomore,Midfielder,,,Quaker Valley,Sewickley,(PA) - Pennsylvania,False,,
AJ Wild,Davidson College,Sophomore,Defender,6'2,180,Homestead High School,Mequon,(WI) - Wisconsin,False,170-199,6'0-6'6
Garrett Wilkens,Davidson College,Sophomore,Defender,6'1,170,Sherman High School,Gunter,(TX) - Texas,False,170-199,6'0-6'6
Alonzo Clarke,Davidson College,Senior,Defender / Midfielder,6'2,175,Loomis Chaffee,Windsor,(CT) - Connecticut,False,170-199,6'0-6'6
Carson Pridie,Davidson College,Sophomore,Goalkeeper,6'3,180,Perry High School,Gilbert,(AZ) - Arizona,False,170-199,6'0-6'6
Nicholas Alvaro Zeballos,Davidson College,Freshman,Midfielder / Forward,6'4,190,Collegiate School,Richmond,,False,170-199,6'0-6'6
Aiden Boudro,Davidson College,Freshman,Forward,6'3,180,Bay High,Bay St. Louis,(MS) - Mississippi,False,170-199,6'0-6'6
Judah Boyce,Davidson College,,Unknown,,,West Lake Prep,Denver,(NC) - North Carolina,False,,
Charles Frink,Davidson College,Freshman,Midfielder,5'10,160,Mercer Island High School,Mercer Island,(WA) - Washington,False,150-169,5'8-5'11
Pablo Linzoain,Davidson College,Freshman,Midfielder / Forward,5'8,155,Fox Chapel Area High School,Pittsburgh,(PA) - Pennsylvania,False,150-169,5'8-5'11
Juan Pablo Ramos Mora,Davidson College,Freshman,Forward,5'11,142,Memorial High School,Frisco,(TX) - Texas,False,130-149,5'8-5'11
Santiago Davila,DePaul University,Graduate Student,Goalkeeper,6'2,,Wauwatosa East,Wauwatosa,(WI) - Wisconsin,False,,6'0-6'6
Ryan Thomas,DePaul University,Senior,Defender,5'8,,Stamford College,Peterborough,,False,,5'8-5'11
George Wyatt,DePaul University,Senior,Defender,6'2,,Woodhey,Bury,,False,,6'0-6'6
Ethan Gordon,DePaul University,Redshirt Junior,Defender,6'2,,Booker T. Washington,Tulsa,,False,,6'0-6'6
Joon Han,DePaul University,Sophomore,Midfielder,5'5,,Real Salt Lake,Orem,(UT) - Utah,False,,5'7-5'3
Callum Watts,DePaul University,Graduate Student,Midfielder,5'10,,Preston School,Yeovil,,False,,5'8-5'11
Liam Mullins,DePaul University,Junior,Forward,5'11,,Desert Vista HS,Phoenix,(AZ) - Arizona,False,,5'8-5'11
Noeh Hernandez,DePaul University,Junior,Midfielder,5'9,,Chicago Fire Academy,Bridgeview,(IL) - Illinois,False,,5'8-5'11
Gavin Netzel,DePaul University,Redshirt Freshman,Defender,5'11,,Liberty,St. Louis,(MO) - Missouri,False,,5'8-5'11
Tyson Amoo-Mensah,DePaul University,Senior,Midfielder,5'9,,Naperville North,Naperville,(IL) - Illinois,False,,5'8-5'11
Max Padua,DePaul University,Sophomore,Midfielder,,,Chicago Fire Academy,Arlington Heights,(IL) - Illinois,False,,
Tyler Flowers,DePaul University,Redshirt Freshman,Midfielder,5'11,,Sharon,Wilmington,(DE) - Delaware,False,,5'8-5'11
Sam Moore,DePaul University,Senior,Forward,5'11,,Bloomington,Bloomington,(IL) - Illinois,False,,5'8-5'11
Clayton Brooks,DePaul University,Senior,Goalkeeper,6'4,,St. Xavier,Louisville,(KY) - Kentucky,False,,6'0-6'6
Chase Stegall,DePaul University,Junior,Midfielder,5'11,,Woodward Academy,Atlanta,(GA) - Georgia,False,,5'8-5'11
Keagan Pace,DePaul University,Junior,Forward,6'0,,Riverside HS,Greer,(SC) - South Carolina,False,,6'0-6'6
Drew Clark,DePaul University,Junior,Defender,5'8,,Benilde-St. Margaret's,Plymouth,(MN) - Minnesota,False,,5'8-5'11
Jordan Clagette,DePaul University,Junior,Midfielder,5'11,,Woodward Academy,Douglasville,(GA) - Georgia,False,,5'8-5'11
Luca Iaccino,DePaul University,Sophomore,Forward,6'0,,Indy Eleven,Rolling Meadows,(IL) - Illinois,False,,6'0-6'6
Evan Jimerson,DePaul University,Sophomore,Midfielder,,,Rise SC,Humble,(TX) - Texas,False,,
Nolan McGuire,DePaul University,Sophomore,Defender,,,St. Louis City II,Saint Louis,(MO) - Missouri,False,,
Christian Baumgartner,DePaul University,Redshirt Junior,Defender,5'10,,Lincoln Way Central,New Lenox,(IL) - Illinois,False,,5'8-5'11
Daniel Hickiewicz,DePaul University,Sophomore,Forward,5'10,,Maine South,Park Ridge,(IL) - Illinois,False,,5'8-5'11
Hayden Vostal,DePaul University,Sophomore,Goalkeeper,6'2,,Indy Eleven,Geneva,(IL) - Illinois,False,,6'0-6'6
Jayden Waski,DePaul University,Sophomore,Forward,5'11,,York Community,Elmhurst,(IL) - Illinois,False,,5'8-5'11
Carson Jeffery,Drake University,Sophomore,Goalkeeper,6'2,,Xavier,Cedar Rapids,(IA) - Iowa,False,,6'0-6'6
Tommy Williams,Drake University,Redshirt Senior,Goalkeeper,5'11,,Bishop Miege,Roseland Park,(KS) - Kansas,False,,5'8-5'11
Tomas Butkovic,Drake University,Freshman,Goalkeeper,6'0,,Figtree,Wollongong,Australia,True,,6'0-6'6
Deng Deng,Drake University,Graduate Student,Defender / Midfielder,6'3,,Berkshire School,London,,False,,6'0-6'6
J.P. Pascarella,Drake University,Graduate Student,Midfielder,5'11,,Leesville Road,Blaine,(MN) - Minnesota,False,,5'8-5'11
Ryder Barrett,Drake University,Junior,Defender,6'1,,Rockhurst,Kansas City,(MO) - Missouri,False,,6'0-6'6
Brennan Rzewuski,Drake University,Graduate Student,Defender,6'1,,Glenbard South,Lombard,(IL) - Illinois,False,,6'0-6'6
Sam DeLong,Drake University,Freshman,Defender,6'1,,Olathe West,Olathe,(KS) - Kansas,False,,6'0-6'6
Barrett Kitts,Drake University,Sophomore,Midfielder,6'0,,St. Thomas Aquinas,Overland Park,(KS) - Kansas,False,,6'0-6'6
Kai Knuchel,Drake University,Senior,Midfielder,5'10,,Wirtschaftsschule Thun,Thun,Switzerland,True,,5'8-5'11
Erich Legut,Drake University,Senior,Midfielder / Forward,6'0,,Waukesha West,Waukesha,(WI) - Wisconsin,False,,6'0-6'6
Damian Segura,Drake University,Junior,Midfielder,5'8,,North Gwinnett,Suwanee,(GA) - Georgia,False,,5'8-5'11
Evan Carlson,Drake University,Redshirt Senior,Forward,5'8,,Sauk Prairie,Sauk City,(WI) - Wisconsin,False,,5'8-5'11
Snorre Espersen,Drake University,Freshman,Forward,5'11,,Roskilde Katedralskole,Roskilde,Denmark,True,,5'8-5'11
Jackson Kirsch,Drake University,Sophomore,Midfielder,5'10,,Marion,Marion,(IA) - Iowa,False,,5'8-5'11
Eskil Gjerde,Drake University,Junior,Defender,,,Karakterutskrift,Egersund,Norway,True,,
Colin Sandefur,Drake University,Freshman,Forward,5'11,,Lawrence,Lawrence,(KS) - Kansas,False,,5'8-5'11
Brayden Shepard,Drake University,Freshman,Forward,5'8,,Lewis Central,Council Bluffs,(IA) - Iowa,False,,5'8-5'11
Taylor Petrich,Drake University,Freshman,Midfielder,6'0,,Hill-Murray School,Woodbury,(MN) - Minnesota,False,,6'0-6'6
Dalton Visconti,Drake University,Sophomore,Midfielder,6'0,,Lee's Summit West,Lee's Summit,(MO) - Missouri,False,,6'0-6'6
Austin Holtebeck,Drake University,Graduate Student,Defender,6'2,,Germantown,Germantown,(WI) - Wisconsin,False,,6'0-6'6
Robbie Wood,Drake University,Freshman,Defender,6'0,,Strake Jesuit College Prep,Houston,(TX) - Texas,False,,6'0-6'6
Saiheed Jah,Drake University,Sophomore,Forward,6'2,,Moline,Moline,(IL) - Illinois,False,,6'0-6'6
Eloge Iradukunda,Drake University,Junior,Forward,5'10,,Preuss School,Maputo,Mozambique,True,,5'8-5'11
Noah Corrigan,Drake University,Junior,Defender,6'0,,Middleton,Middleton,(WI) - Wisconsin,False,,6'0-6'6
Zacarias Escobar-Bowie,Drake University,Sophomore,Forward,6'0,,Sporting KC Academy,Richmond,(TX) - Texas,False,,6'0-6'6
Chase Wakefield,Drake University,Freshman,Midfielder,6'1,,Bettendorf,Bettendorf,(IA) - Iowa,False,,6'0-6'6
Preston Kipnusu,Drake University,Freshman,Forward,6'4,,Valley,West Des Moines,(IA) - Iowa,False,,6'0-6'6
Cole Schrage,Drake University,Sophomore,Defender,6'2,,Waukee Northwest,Urbandale,(IA) - Iowa,False,,6'0-6'6
Quinn Millerd,Drake University,Redshirt Junior,Goalkeeper,6'5,,Bainbridge,Bainbridge Island,(WA) - Washington,False,,6'0-6'6
Raphael Bartell,Drexel University,Junior,Goalkeeper,6'1,169,Poelchau Sportschule-Im-Olympiapark,Rostock,Germany,True,150-169,6'0-6'6
Alessandro Capogna,Drexel University,Graduate Student,Goalkeeper,6'2,183,IIS Brunelleschi,Boville Ernica,Italy,True,170-199,6'0-6'6
Mateusz Wojtalik,Drexel University,Freshman,Defender,6'2,178,Spjelkavik Videregående Skole,Aalesund,Norway,True,170-199,6'0-6'6
Gavin Carmichael,Drexel University,Freshman,Defender,6'1,168,Loyola Blakefield,Towson,(MD) - Maryland,False,150-169,6'0-6'6
Julian Jordheim,Drexel University,Sophomore,Defender,6'3,190,Wang Toppidrett Fredrikstad,Fredrikstad,Norway,True,170-199,6'0-6'6
Isaiah Whittaker-Francis,Drexel University,Sophomore,Defender,5'11,170,St. Edmund Campion,Brampton,Ontario,True,170-199,5'8-5'11
Levi Christie,Drexel University,Freshman,Midfielder,5'10,150,Governor Miffilin,Knauers,(PA) - Pennsylvania,False,150-169,5'8-5'11
Cesar Banacloy,Drexel University,Graduate Student,Defender,6'0,154,Montverde Academy,Valencia,Spain,True,150-169,6'0-6'6
Giancarlo Vaccaro,Drexel University,Senior,Forward,5'8,155,Dante Aligheri Academy,Toronto,Ontario,True,150-169,5'8-5'11
Christian Combs,Drexel University,Junior,Forward,5'9,150,Germantown Academy,North Wales,(PA) - Pennsylvania,False,150-169,5'8-5'11
Omar Jallow,Drexel University,Freshman,Forward,6'0,155,Hillgrove,Powder Springs,(GA) - Georgia,False,150-169,6'0-6'6
Zain Akhtar,Drexel University,Sophomore,Defender / Midfielder,5'9,155,Caravel Academy,Bear,,False,150-169,5'8-5'11
Kaden Onolaja,Drexel University,Freshman,Midfielder,5'7,145,Loyola Blakefield,Bel Air,(MD) - Maryland,False,130-149,5'7-5'3
Mo Diallo,Drexel University,Freshman,Midfielder,5'8,150,YSC Academy,Paris,France,True,150-169,5'8-5'11
Patrick Short,Drexel University,Graduate Student,Midfielder,5'11,165,Sussex Tech,Georgetown,(DE) - Delaware,False,150-169,5'8-5'11
Yorgos Gavas,Drexel University,Freshman,Defender,5'8,165,Halifax West,Halifax,Canada,True,150-169,5'8-5'11
Dominick Bachstein,Drexel University,Graduate Student,Forward,6'3,180,Conestoga,Malvern,(PA) - Pennsylvania,False,170-199,6'0-6'6
Carles Aliberch,Drexel University,Senior,Midfielder,5'8,162,Complejo Preuniversitario Mas Camarena,Barcelona,Spain,True,150-169,5'8-5'11
Ben Weller,Drexel University,Junior,Forward,6'2,175,Winters Mill High School,Westminster,(MD) - Maryland,False,170-199,6'0-6'6
Max Haberl,Drexel University,Sophomore,Defender / Midfielder,6'0,170,Tourismschool Klessheim,Seeham,Austria,True,170-199,6'0-6'6
Sebastian Perez-Gasiba,Drexel University,Freshman,Midfielder,5'8,160,The Haverford School,Media,(PA) - Pennsylvania,False,150-169,5'8-5'11
Ori Arzi,Drexel University,Senior,Defender,5'9,159,Makif Yehud High School,Yehud,Israel,True,150-169,5'8-5'11
Colin Davis,Drexel University,Graduate Student,Defender,6'1,180,Hatboro-Horsham,Doylestown,(PA) - Pennsylvania,False,170-199,6'0-6'6
Stephen Appiah,Drexel University,Senior,Forward,6'0,170,Ferncreek,Woodbridge,,False,170-199,6'0-6'6
Ben Hanas,Drexel University,Freshman,Goalkeeper,6'2,185,Danvers,Danvers,(MA) - Massachusetts,False,170-199,6'0-6'6
Ethan Schaefer,Drexel University,Freshman,Forward,5'11,155,Rockhurst,Kansas City,(MO) - Missouri,False,150-169,5'8-5'11
James Fitzgerald,Drexel University,Junior,Defender,6'0,190,William Penn Charter School,Flourtown,(PA) - Pennsylvania,False,170-199,6'0-6'6
Julian Pittaoulis,Drexel University,Junior,Midfielder / Forward,5'11,160,Central,Philadelphia,(PA) - Pennsylvania,False,150-169,5'8-5'11
Grant Farley,Duke University,Senior,Goalkeeper,6'3,210,Gilman School,Baltimore,(MD) - Maryland,False,Above 200,6'0-6'6
Ryan Gallagher,Duke University,Graduate Student,Goalkeeper,6'1,175,Jesuit High School,Tampa,(FL) - Florida,False,170-199,6'0-6'6
Wessel Speel,Duke University,Graduate Student,Goalkeeper,6'7,200,St. Bonifatius College,Utrecht,Netherlands,True,Above 200,6'6+
Jamie Kabuusu,Duke University,Freshman,Midfielder,5'10,150,New England Revolution,Chestnut Hill,(MA) - Massachusetts,False,150-169,5'8-5'11
Kamran Acito,Duke University,Junior,Defender,6'3,185,Trinity School,Manhattan,(NY) - New York,False,170-199,6'0-6'6
Trevor Burns,Duke University,Graduate Student,Midfielder,5'8,150,New England Revolution,Kansas City,(MO) - Missouri,False,150-169,5'8-5'11
Alex Hauschild,Duke University,Freshman,Defender,6'2,170,NYCFC,Greenwich,(CT) - Connecticut,False,170-199,6'0-6'6
Cameron Kerr,Duke University,Graduate Student,Midfielder,5'11,145,Chapel Hill,Chapel Hill,(NC) - North Carolina,False,130-149,5'8-5'11
Felix Barajas,Duke University,Senior,Midfielder,5'9,150,California Connections Academy,Los Angeles,(CA) - California,False,150-169,5'8-5'11
Nikolai Bull Jorgensen,Duke University,Sophomore,Midfielder / Forward,6'2,183,NTG Kongsvinger,Asker,Norway,True,170-199,6'0-6'6
Ulfur Bjornsson,Duke University,Sophomore,Forward,6'3,187,Verzlunarskólinn,Hafnarfjörður,Iceland,True,170-199,6'0-6'6
Drew Kerr,Duke University,Junior,Midfielder,6'0,160,Accelerator School,Hillsborough,(NC) - North Carolina,False,150-169,6'0-6'6
Colton Pleasants,Duke University,Graduate Student,Midfielder,5'8,145,Crossroads Flex,Raleigh,(NC) - North Carolina,False,130-149,5'8-5'11
Ruben Mesalles,Duke University,Senior,Defender,6'0,165,IMG Academy,Sarasota,(FL) - Florida,False,150-169,6'0-6'6
Jose Ortega,Duke University,Junior,Forward,5'11,165,Georgetown Preparatory School,Bethesda,(MD) - Maryland,False,150-169,5'8-5'11
Jack Zugay,Duke University,Graduate Student,Midfielder,6'1,160,Pioneer,Ann Arbor,(MI) - Michigan,False,150-169,6'0-6'6
Luke Thomas,Duke University,Graduate Student,Midfielder,6'0,150,Cannon School,Charlotte,(NC) - North Carolina,False,150-169,6'0-6'6
Adrian Byasiima,Duke University,Freshman,Forward,6'0,170,Nolensville,Nolensville,(TN) - Tennessee,False,170-199,6'0-6'6
Julius Suber,Duke University,Freshman,Midfielder,6'2,171,O'Dea,Kirkland,(WA) - Washington,False,170-199,6'0-6'6
Sintayehu Clements,Duke University,Senior,Defender,6'1,180,The Northwest School,Seattle,(WA) - Washington,False,170-199,6'0-6'6
Andrew Myerson,Duke University,Sophomore,Defender / Midfielder,6'1,180,Issaquah,Issaquah,(WA) - Washington,False,170-199,6'0-6'6
Niclas Wittur,Duke University,Graduate Student,Defender,6'1,185,Wingate,Schildow,Germany,True,170-199,6'0-6'6
Caleb Donaldson,Duke University,Sophomore,Midfielder,5'9,150,Martin Luther King Jr.,Nashville,(TN) - Tennessee,False,150-169,5'8-5'11
Kenan Hot,Duke University,Junior,Midfielder,5'11,165,Middletown South,Lincroft,(NJ) - New Jersey,False,150-169,5'8-5'11
Axel Gudbjornsson,Duke University,Junior,Defender,6'4,195,Commercial College of Iceland,Reykjavik,Iceland,True,170-199,6'0-6'6
Hudson Hazlewood,Duke University,Graduate Student,Midfielder,5'11,150,Dunlap,Princeville,(IL) - Illinois,False,150-169,5'8-5'11
Adam Luckhurst,Duke University,Graduate Student,Forward,6'0,165,Bishop Diego,Santa Barbara,(CA) - California,False,150-169,6'0-6'6
Sebastian Docters,Duke University,Senior,Midfielder,5'11,155,Hackley School,Larchmont,(NY) - New York,False,150-169,5'8-5'11
Nate Mulvaney,Duke University,Senior,Defender,5'11,185,Sage Ridge School,Reno,(NV) - Nevada,False,170-199,5'8-5'11
Nathan Gaviser,Duke University,Sophomore,Goalkeeper,6'3,187,Edgemont,Edgemont,(NY) - New York,False,170-199,6'0-6'6
Aaron Meono,Duquesne University,Sophomore,Goalkeeper,6'0,170,Palos Verdes (Akron),Redondo Beach,(CA) - California,False,170-199,6'0-6'6
Sergios Feneridis,Duquesne University,Junior,Defender,6'0,150,Pascal English School Nicosia (Virginia Tech),Nicosia,Cyprus,True,150-169,6'0-6'6
Blaize Hardy,Duquesne University,Redshirt Junior,Defender,6'2,165,Hamilton (VCU),Queen Creek,(AZ) - Arizona,False,150-169,6'0-6'6
Ofek Sasson,Duquesne University,Sophomore,Defender,6'4,188,Mikve Israel,Ramat Gan,Israel,True,170-199,6'0-6'6
Sam Bennett,Duquesne University,Senior,Defender,6'0,180,Hempfield (Indiana),Lancaster,(PA) - Pennsylvania,False,170-199,6'0-6'6
Grant McIntosh,Duquesne University,Senior,Midfielder,6'0,165,Plano West (Akron),Plano,(TX) - Texas,False,150-169,6'0-6'6
Hákon Dagur Matthíasson,Duquesne University,Freshman,Midfielder,6'1,158,Commercial College of Iceland,Reykjavík,Iceland,True,150-169,6'0-6'6
Bendix Bennetzen,Duquesne University,Sophomore,Midfielder,5'10,167,Rybners Gymnasier,Esbjerg,Denmark,True,150-169,5'8-5'11
Dakota Jonke,Duquesne University,Senior,Forward,6'2,185,St. Edward (Cornell),Cleveland,(OH) - Ohio,False,170-199,6'0-6'6
Roni Badler,Duquesne University,Sophomore,Forward,5'10,165,Shazar,Tel Aviv,Israel,True,150-169,5'8-5'11
Mathieu Brick,Duquesne University,Junior,Defender,5'9,154,Florida Virtual (Clemson),Oviedo,(FL) - Florida,False,150-169,5'8-5'11
Ashton Jell,Duquesne University,Senior,Defender / Midfielder,5'8,165,Lancaster Central,Lancaster,(NY) - New York,False,150-169,5'8-5'11
Jaxon Ervin,Duquesne University,Redshirt Junior,Midfielder,5'10,160,West Allegheny,Pittsburgh,(PA) - Pennsylvania,False,150-169,5'8-5'11
Marko Rasmussen,Duquesne University,Sophomore,Forward,5'11,155,College360,Silkeborg,Denmark,True,150-169,5'8-5'11
Miles Imparato,Duquesne University,Sophomore,Midfielder,5'10,150,H.B. Plant (Indiana),Tampa,(FL) - Florida,False,150-169,5'8-5'11
Chris Philibin,Duquesne University,Redshirt Sophomore,Defender,5'11,155,Western Reserve Academy,Youngstown,(OH) - Ohio,False,150-169,5'8-5'11
Tyler Kato,Duquesne University,Junior,Midfielder,6'3,170,Ann Arbor Pioneer (Air Force),Ann Arbor,(MI) - Michigan,False,170-199,6'0-6'6
Ashwin Menon,Duquesne University,Redshirt Junior,Defender,5'10,168,Westlake Academy (Oregon State),Trophy Club,(TX) - Texas,False,150-169,5'8-5'11
Daman Sangha,Duquesne University,Junior,Defender,6'3,170,Boyertown Area (South Carolina),Gilbertsville,(PA) - Pennsylvania,False,170-199,6'0-6'6
Pepo Bravo,Duquesne University,Redshirt Senior,Midfielder,5'9,155,Sek el castillo (Florida Atlantic),Madrid,Spain,True,150-169,5'8-5'11
Diego Chavez,Duquesne University,Redshirt Senior,Goalkeeper,6'2,195,Skyline (Colorado Mesa),Boulder,(CO) - Colorado,False,170-199,6'0-6'6
Sam Coss,Duquesne University,Redshirt Junior,Goalkeeper,6'1,180,Bowie (Syracuse),Bowie,(MD) - Maryland,False,170-199,6'0-6'6
Owen Gall,Duquesne University,Freshman,Midfielder,5'10,150,Marcus,Highland Village,(TX) - Texas,False,150-169,5'8-5'11
Mikey Morales,Duquesne University,Junior,Midfielder,6'0,160,Florida Christian School (Tulsa),Miami,(FL) - Florida,False,150-169,6'0-6'6
